model,variant,checkpoint_name,split,accuracy,macro_f1,weighted_f1,minority_avg_f1,Forced Action F1,Sneaking F1
bert,plain,bert_plain,val,0.9661971830985916,0.7234104505168807,0.9613700870238767,0.3333333333333333,0.0,0.0
bert,plain,bert_plain,test,0.96045197740113,0.7010785817955629,0.9550015216634979,0.2857142857142857,0.0,0.0
bert,weighted_ce,bert_weighted_ce,val,0.9605633802816902,0.6966798834280107,0.9576927879201292,0.26666666666666666,0.0,0.0
bert,weighted_ce,bert_weighted_ce,test,0.9519774011299436,0.6897993918538161,0.9476857978936533,0.26666666666666666,0.0,0.0
roberta,plain,roberta_plain,val,0.9830985915492958,0.7372900632263673,0.9792129451647853,0.3333333333333333,0.0,0.0
roberta,plain,roberta_plain,test,0.9689265536723164,0.7141558274216615,0.9650397662578675,0.2962962962962963,0.0,0.0
roberta,weighted_ce,roberta_weighted_ce,val,0.9802816901408451,0.7338406546835801,0.976298884007342,0.3333333333333333,0.0,0.0
roberta,weighted_ce,roberta_weighted_ce,test,0.9717514124293786,0.8526337204904049,0.9689525428411547,0.6666666666666666,1.0,0.0
